N,K,Initilization,Iteration,Repetitions
79186,2,0.14896631240844727,0.0019998550415039062,256
79186,2,0.14303183555603027,0.001968860626220703,256
79186,2,0.1510319709777832,0.002000093460083008,256
79186,2,0.15596389770507812,0.0020034313201904297,256
79186,2,0.14599609375,0.0010018348693847656,256
79186,2,0.14099788665771484,0.002005338668823242,256
79186,2,0.15203285217285156,0.0009968280792236328,256
79186,2,0.1510014533996582,0.001001119613647461,256
79186,2,0.14999914169311523,0.0020008087158203125,256
79186,2,0.14999985694885254,0.0009665489196777344,256
Means, ,0.14890213012695314,0.0015944719314575195,256.0
Stds, ,0.004200099887157012,0.0004924379319490765,0.0
Stabilished, ,0.028207117544766014,0.3088407655435709, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
79186,3,0.1639995574951172,0.2780344486236572,32640
79186,3,0.14700055122375488,0.22500014305114746,32640
79186,3,0.14100122451782227,0.24499940872192383,32640
79186,3,0.1459670066833496,0.2290353775024414,32640
79186,3,0.14196228981018066,0.2180020809173584,32640
79186,3,0.17100024223327637,0.29703307151794434,32640
79186,3,0.15599894523620605,0.23299908638000488,32640
79186,3,0.14096403121948242,0.24100184440612793,32640
79186,3,0.15500092506408691,0.27100086212158203,32640
79186,3,0.1660017967224121,0.22899818420410156,32640
Means, ,0.15288965702056884,0.2466104507446289,32640.0
Stds, ,0.010597376589841851,0.024997281875750357,0.0
Stabilished, ,0.06931388817502641,0.10136343289699287, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
79186,4,0.16299939155578613,24.739048957824707,2763520
79186,4,0.14699959754943848,23.877001762390137,2763520
79186,4,0.2559988498687744,24.663903951644897,2763520
79186,4,0.14203834533691406,25.330965042114258,2763520
79186,4,0.19600772857666016,25.739830493927002,2763520
79186,4,0.17903470993041992,25.28596019744873,2763520
79186,4,0.15503644943237305,24.942967176437378,2763520
79186,4,0.16599678993225098,25.119048357009888,2763520
79186,4,0.1549985408782959,26.01900053024292,2763520
79186,4,0.13903594017028809,33.79988980293274,2763520
Means, ,0.1698146343231201,25.951761627197264,2763520.0
Stds, ,0.0330713138232875,2.676120087436126,0.0
Stabilished, ,0.19474949232208116,0.103119014650303, 
 , , , , 
N,K,Initilization,Iteration,Repetitions
79186,5,0.2930011749267578,1747.5923669338226,174792640
79186,5,0.16299772262573242,1859.060539484024,174792640
79186,5,0.1450345516204834,1923.6934750080109,174792640
79186,5,0.16496801376342773,1855.4754092693329,174792640
79186,5,0.15900182723999023,1724.4394524097443,174792640
79186,5,0.15799832344055176,1609.3039886951447,174792640
79186,5,0.14500188827514648,1636.2063255310059,174792640
79186,5,0.15300226211547852,1654.9287929534912,174792640
79186,5,0.13503241539001465,2575.24196100235,174792640
79186,5,0.2720026969909668,2335.3799970149994,174792640
Means, ,0.17880408763885497,1892.1322308301926,174792640.0
Stds, ,0.0527805899197056,302.87110324949754,0.0
Stabilished, ,0.29518670751146814,0.16006867718574283, 
 , , , , 
